decision_error_rate,vi_clustered,median_T,min_T,max_T,mean_T,sd_T,n_queries,num_hards,num_clusters
0.0004840271055178702,0.0724531010035446,5.0,5,80,5.528888888888889,4.6312560326615495,57224,20,86
0.00038789759503488064,0.058089044960026,5,5,80,5.576472864467447,4.9474189392327075,57644,25,86
0.0002848732314120195,0.04028047753619278,5.0,5,80,5.533560864618885,4.429500211130627,58368,17,86
0.00027977245173926857,0.06029912161089841,5,5,80,5.593857608189856,4.775737523615153,60106,22,87
0.00019831432821015849,0.020635861439426736,5,5,80,5.548125432782669,4.8097957377908465,56086,24,85
0.00047878961984104684,0.0584630729379656,5,5,80,5.533301481127568,4.781229269646121,57906,22,87
0.00028634150997419727,0.034625889505005746,5.0,5,80,5.600989910527318,5.010425586734406,58844,29,85
0.0002804000373867188,0.03745318352059926,5,5,80,5.54333426625618,4.577132501094284,59419,20,86
0.00028601391934413023,0.04876235958297333,5,5,80,5.544382075920464,4.659939662239926,58277,22,86
0.0004954910316122829,0.05526175094443248,5.0,5,80,5.638142292490119,5.1771167179355215,57058,29,85
