,T,K,VI,VI_r,p_hat,q_hat,edge_error_rate,edge_error_rate_r,K_predicted,T_actual
20,277367,30,3.496371929603099,3.675724753840442,0.0848561137925049,0.0229425949445625,0.0513827160493827,0.0531283950617283,24,304521
21,277367,30,4.080293831432516,4.125731273404559,0.0913161151942261,0.0246697085214833,0.0609604938271604,0.0609506172839506,24,291489
22,277367,30,3.8383693459657713,3.906655456585037,0.0891131264373214,0.02450915338458,0.0582567901234567,0.059,23,283173
23,277367,30,3.703702625451627,3.9498172677443457,0.0946979666257734,0.0244287165653672,0.0543679012345679,0.0568691358024691,25,304521
24,277367,30,3.465487464424778,3.6254201975505023,0.0898396184641484,0.0226954067951548,0.0511851851851851,0.0533086419753086,24,298905
25,277367,30,3.0950528482455644,3.217571057350193,0.0916316321303215,0.0234449971859765,0.0458197530864197,0.0470074074074074,24,296529
26,277367,30,3.599453910644983,3.6852318029393,0.0954068075870597,0.023629963875305,0.0536666666666666,0.0543135802469135,24,289383
27,277367,30,4.003308093563043,4.14817928866812,0.0956320893050929,0.0244574576018462,0.0583185185185185,0.0599185185185185,24,295179
28,277367,30,3.8152264654912966,3.861267078848434,0.0844248312241981,0.0219511315645715,0.0586296296296296,0.0591802469135802,23,283371
29,277367,30,3.1811684418663546,3.283952689730516,0.0938218710556443,0.0229163188246917,0.0468148148148148,0.0478641975308642,24,298257
