,T,K,VI,VI_r,p_hat,q_hat,edge_error_rate,edge_error_rate_r,K_predicted,T_actual,mean_T
0,41014,3,2.6601092123999295,2.8718781314082076,0.08138287118183267,0.035035045197981174,0.295,0.307958024691358,15,44328,2.308990519845817
1,41014,3,2.9061924073302756,3.3139470264671367,0.08944918396569053,0.03676196830589944,0.31577037037037037,0.3373283950617284,14,54963,2.5152244401661767
2,41014,3,2.9308872848993492,3.2630837023417394,0.08631829669599783,0.03552115097238281,0.3171432098765432,0.3373382716049383,13,55128,2.6482421540044587
3,41014,3,1.7525272143364166,1.940993869044539,0.07748717080824624,0.02957774327059053,0.22493086419753086,0.23750123456790123,13,43461,2.673439885431725
4,41014,3,2.8364076722954557,3.193994270203678,0.08212231328234322,0.03487887813166986,0.3101111111111111,0.33026913580246914,14,50262,2.6813117942622506
5,41014,3,2.8624469970152777,3.1247996631866757,0.08193160523584281,0.032500979965565224,0.31050617283950616,0.32652345679012346,14,50322,2.751987017537389
6,41014,3,2.6712283317017422,2.979278611777788,0.08217925586385136,0.035096247622762956,0.294279012345679,0.31220493827160495,15,49482,2.742626077908975
7,41014,3,2.8082104506714276,3.0851851454997345,0.09142868689675628,0.03660554783791852,0.30443703703703706,0.31904444444444446,15,54831,2.832269179382603
8,41014,3,2.920571761212017,3.3660914087156617,0.08271264050382215,0.03683663322668444,0.31377283950617285,0.3393111111111111,14,59934,2.9051439980410994
9,41014,3,3.109272354210086,3.3939345099385476,0.09130694430435046,0.03437019795144311,0.3302395061728395,0.34571358024691357,13,59538,2.980158866025268
10,186556,20,2.8716477889787333,3.1830535792254824,0.08396954938899823,0.022816599922598844,0.057437037037037036,0.0624320987654321,22,206802,8.597763272772626
11,186556,20,3.1574454170889434,3.6284668786473833,0.0911966582891131,0.023897797211815213,0.06085925925925926,0.06713580246913581,23,215181,8.736527194053954
12,186556,20,2.919882472299959,3.212473410384001,0.09534724157893608,0.0237388370161569,0.055417283950617284,0.059846913580246915,24,198081,8.549422973513312
13,186556,20,3.3319896215830873,3.721711895177882,0.08792266129205172,0.024502247605801077,0.06362962962962963,0.06887654320987655,23,211506,8.922712104466882
14,186556,20,2.9092367685430265,3.194801041878589,0.08809633568472737,0.02411446090407734,0.05675555555555555,0.06107407407407407,23,197191,9.042224429346154
15,186556,20,2.94493954110576,2.994973137903783,0.08899174186960707,0.023827561462579694,0.06071851851851852,0.061469135802469134,22,189330,9.090231343283582
