,VI,mean_T,total_queries,pair_error_rate,K
0,0.019259320056711153,23.461666666666666,42231,0.0011111111111110628,3
1,0.06446069255282078,21.82814238042269,39247,0.0022246941045606095,3
2,0.032230355211769555,22.763727121464225,41043,0.0016638935108153063,3
3,0.0698887506702677,22.33296521258973,40445,0.00331308669243513,3
4,0.021486903474513035,22.077222222222222,39739,0.0011111111111110628,3
5,0.1649143592196745,22.653696498054476,40754,0.004446914952751513,3
6,0.17826481458268334,22.77900552486188,41230,0.0044198895027623974,3
7,0.16446037746994574,22.842746400885936,41254,0.0044296788482834915,3
8,0.10922461969708169,23.32170542635659,42119,0.002768549280177224,3
9,0.07313717159384685,23.416249304396217,42079,0.0027824151363383676,3
